scientific_name,cooking_note,requires_cooking,taste_note,storage_note
Agaricus arvensis,"смажити, варити, сушити, маринувати; попереднє відварювання не обов’язкове.",true,висока.,не збирати перезрілі та червиві плодові тіла.
Agaricus silvaticus,"смажити, варити, сушити; відварювання не потрібне.",false,висока.,"швидко червивіє, тому перевіряти ніжку."
Agaricus xanthodermus,не вживати.,false,"неїстівний, отруйний.","викликає блювання, шлункові розлади."
Amanita citrina,не вживати.,false,отруйний.,"містить токсини, небезпечний навіть після відварювання."
Amanita porphyria,не вживати.,false,отруйний.,викликає нейротоксичні розлади.
Amanita vittadinii,не вживати.,false,отруйний.,"рідкісний степовий вид, потребує охорони."
Amanita echinocephala,не вживати.,false,неїстівний.,"рідкісний вид, вартий уваги як індикатор старих лісів."
Boletus calopus,не вживати через дуже гіркий смак.,false,неїстівний.,може викликати шлункові розлади.
Boletus impolitus,"смажити, варити, сушити, маринувати; відварювання не обов’язкове.",true,висока.,специфічний карболовий запах зникає після термічної обробки.
Boletus queletii,вживати лише після відварювання; відвар злити.,true,середня.,сирий гриб може викликати отруєння.
Boletus erythropus,вживати лише після відварювання; відвар злити.,true,середня.,"сирий гриб отруйний, може викликати шлункові розлади."
Boletus purpureus,не вживати.,false,неїстівний.,сирий отруйний; навіть після відварювання може бути небезпечним.
Gyroporus castaneus,"смажити, варити, сушити; відварювання не обов’язкове.",true,висока.,цінується за щільний м’якуш і горіховий аромат.
Gyroporus cyanescens,"смажити, варити, сушити; відварювання не обов’язкове.",true,висока.,синіння м’якуша не впливає на харчову цінність.
Gyrodon lividus,смажити після відварювання; при відварюванні чорніє.,true,низька.,"рідкісний вид, занесений до Червоної книги України."
Boletinus cavipes,"смажити, варити, сушити; відварювання не обов’язкове.",true,середня.,росте виключно в модринових насадженнях.
Tylopilus felleus,не вживати через дуже гіркий смак.,false,неїстівний.,"гіркота не зникає навіть після тривалого відварювання; однак гриб не отруйний, лише псує страву."
Porphyrellus porphyrosporus,не вживати.,false,неїстівний.,рідкісний вид; відрізняється пурпурово-коричневим споровий порошком.
Gomphidius glutinosus,"смажити, варити, сушити; перед приготуванням зняти слизьку шкірку.",false,висока.,"слиз на шапці може викликати шлункові розлади, тому його обов’язково видаляють."
