scientific_name,zones
Agaricus arvensis,Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Херсонська|Хмельницька|Черкаська|Чернігівська
Agaricus silvaticus,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Agaricus xanthodermus,Вінницька|Дніпропетровська|Донецька|Закарпатська|Запорізька|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Тернопільська|Харківська|Херсонська|Хмельницька|Черкаська
Amanita citrina,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Amanita porphyria,Івано-Франківська|Волинська|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Сумська|Чернівецька|Чернігівська
Amanita vittadinii,Вінницька|Дніпропетровська|Донецька|Запорізька|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Тернопільська|Харківська|Херсонська|Хмельницька|Черкаська
Amanita echinocephala,Вінницька|Кіровоградська|Тернопільська|Хмельницька|Черкаська
Boletus calopus,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Boletus impolitus,Волинська|Вінницька|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Миколаївська|Одеська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Boletus queletii,Дніпропетровська|Донецька|Запорізька|Кіровоградська|Луганська|Полтавська|Сумська|Харківська|Чернігівська
Boletus erythropus,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Boletus purpureus,Вінницька|Кіровоградська|Полтавська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Gyroporus castaneus,Івано-Франківська|Волинська|Вінницька|Дніпропетровська|Житомирська|Закарпатська|Запорізька|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька
Gyroporus cyanescens,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька
Gyrodon lividus,Івано-Франківська|Львівська|Тернопільська
Boletinus cavipes,Вінницька|Кіровоградська|Полтавська|Тернопільська|Харківська|Хмельницька|Черкаська
Tylopilus felleus,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Porphyrellus porphyrosporus,Волинська|Житомирська|Київська|Рівненська
Gomphidius glutinosus,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька
Gomphidius roseus,Вінницька|Кіровоградська|Полтавська|Тернопільська|Харківська|Хмельницька|Черкаська
Gomphidius rutilus,Івано-Франківська|АР Крим|Волинська|Вінницька|Дніпропетровська|Житомирська|Закарпатська|Запорізька|Київська|Кіровоградська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька
Gomphidius maculatus,Івано-Франківська|Львівська|Тернопільська
Paxillus atrotomentosus,Волинська|Дніпропетровська|Житомирська|Запорізька|Київська|Кіровоградська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Paxillus panuoides,Волинська|Дніпропетровська|Донецька|Житомирська|Запорізька|Київська|Кіровоградська|Луганська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Ripartites tricholoma,Дніпропетровська|Донецька|Запорізька|Кіровоградська|Луганська|Полтавська|Харківська
Ripartites helomorpha,Вінницька|Кіровоградська|Тернопільська|Хмельницька|Черкаська
Lactarius sanguifluus,Івано-Франківська|Волинська|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Чернівецька
Lactarius semisanguifluus,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Тернопільська|Хмельницька|Черкаська|Чернівецька
Lactarius fuliginosus,АР Крим|Волинська|Вінницька|Житомирська|Київська|Львівська|Полтавська|Рівненська|Тернопільська|Харківська|Хмельницька|Черкаська
Lactarius acris,Івано-Франківська|Волинська|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Чернівецька
Lactarius chrysorrheus,Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Lactarius theiogalus,Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Lactarius hepaticus,Волинська|Житомирська|Київська|Рівненська|Сумська|Чернігівська
Lactarius scrobiculatus,Івано-Франківська|Волинська|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Тернопільська|Хмельницька|Чернівецька
Lactarius trivialis,АР Крим|Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Lactarius musteus,Волинська|Житомирська|Київська|Рівненська
Lactarius rubrocinctus,Івано-Франківська|Волинська|Житомирська|Закарпатська|Київська|Львівська|Рівненська|Чернівецька
Lactarius glaucescens,Волинська|Житомирська|Київська|Рівненська
Lactarius blennius,Івано-Франківська|Закарпатська|Львівська|Чернівецька
Lactarius vietus,Полтавська|Сумська|Харківська|Чернігівська
Lactarius uvidus,Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Хмельницька|Чернігівська
Lactarius violascens,Івано-Франківська|Львівська|Тернопільська
Lactarius aspideus,Івано-Франківська|Львівська|Тернопільська
Lactarius repraesentaneus,Волинська|Житомирська|Київська|Рівненська|Сумська|Чернігівська
Lactarius pubescens,Волинська|Рівненська
Lactarius controversus,Івано-Франківська|Житомирська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Чернігівська
Lactarius turpis,Івано-Франківська|Вінницька|Житомирська|Київська|Кіровоградська|Львівська|Рівненська|Тернопільська|Хмельницька|Черкаська
Lactarius mammosus,Волинська|Житомирська|Київська|Рівненська|Сумська|Чернігівська
Lactarius flexuosus,Волинська|Вінницька|Житомирська|Київська|Кіровоградська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Lactarius spinosulus,Волинська|Вінницька|Житомирська|Київська|Кіровоградська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Russula albonigra,
Russula nigricans,
Russula densifolia,
Russula adusta,
Russula decolorans,
Russula obscura,
Russula xerampelina,
Russula claroflava,
Russula ochroleuca,
Russula turci,
Russula puellaris,
Russula viscida,
Russula lilacea,
Russula pulchella,
Russula olivacea,
Russula atropurpurea,
Russula delica,
Russula lutea,
Russula mustelina,
Russula mollis,
Russula aeruginosa,
Russula virescens,
Russula amoena,
Russula heterophylla,
Russula cyanoxantha,
Russula grisea,
Russula roseipes,
Russula brunneoviolacea,
Russula melliolens,
Russula aurata,
Russula paludosa,
Russula curtipes,
Russula vesca,
Russula alutacea,
Russula integra,
Russula fellea,
Russula foetens,
Russula farinipes,
Russula consobrina,
Russula pectinata,
Russula maculata,
Russula rubra,
Russula sanguinea,
Russula badia,
Russula sardonia,
Russula queletii,
Russula rosea,
Russula pseudointegra,
Russula caerulea,
Russula nauseosa,
Tricholoma album,Волинська|Вінницька|Житомирська|Київська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернігівська
Tricholoma sulphureum,Івано-Франківська|Волинська|Вінницька|Житомирська|Закарпатська|Київська|Львівська|Полтавська|Рівненська|Сумська|Тернопільська|Харківська|Хмельницька|Черкаська|Чернівецька|Чернігівська
Tricholoma virgatum,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Tricholoma vaccinum,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Tricholoma imbricatum,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
Tricholoma pessundatum,Волинська|Житомирська|Київська|Полтавська|Рівненська|Сумська|Харківська|Чернігівська
