scientific_name,season,forest_types,substrate,description
Agaricus arvensis,травень — листопад.,"луки, пасовища, галявини, узбіччя, сади.",,"• Шапка: 8–20 см, спочатку напівсферична, потім опуклю- або плоско-розпростерта; біла, згодом кремова; гладенька або дрібнолуската; край спочатку підігнутий, потім розпростертий. • Пластинки: вільні, густі; спочатку рожеві, згодом темно-коричневі. • Ніжка: 6–10 × 1–2 см, циліндрична, біла, з двокільцевим кільцем; біля основи часто потовщена. • М’якоть: біла, на зламі не змінюється або злегка жовтіє; запах анісу або мигдалю; смак приємний. • Споровий порошок: темно-коричневий."
Agaricus silvaticus,червень — жовтень.,"хвойні та мішані ліси, на грунті, часто біля пнів.",,"• Шапка: 5–10 см, опукла, згодом плоско-розпростерта; сірувато-бура, з бурими лусками; край підігнутий. • Пластинки: вільні, густі; білі → рожеві → темно-коричневі. • Ніжка: 5–10 × 0,8–1,5 см, циліндрична, білувата, з кільцем. • М’якоть: біла, на зламі червоніє; запах приємний, грибний. • Споровий порошок: темно-коричневий."
Agaricus xanthodermus,червень — жовтень.,"сади, парки, узлісся, газони, узбіччя.",,"• Шапка: 5–15 см, опукла, згодом плоско-розпростерта; біла, при дотику жовтіє; край підігнутий. • Пластинки: вільні, густі; рожеві → коричневі. • Ніжка: 6–12 × 1–2 см, біла, з кільцем; біля основи жовтіє. • М’якоть: біла, на зламі жовтіє; запах карболки або чорнила. • Споровий порошок: темно-коричневий."
Amanita citrina,липень — жовтень.,"хвойні та листяні ліси, на грунті.",,"• Шапка: 4–10 см, напівсферична, згодом опуклю-розпростерта; лимонно-жовта, зеленувата, з білими пластівцями; край гладенький. • Пластинки: вільні, білі. • Ніжка: 6–10 × 1–1,5 см, біла, з кільцем і бульбою; біля основи піхва. • М’якоть: біла, із запахом редьки. • Споровий порошок: білий."
Amanita porphyria,липень — вересень.,"хвойні ліси, мохи, кислі грунти.",,"• Шапка: 5–8 см, напівсферична, згодом опуклю-розпростерта; сірувато-бура з пурпуровим відтінком, з білими пластівцями. • Пластинки: вільні, білі. • Ніжка: 6–10 × 0,8–1,2 см, біла, з кільцем; біля основи вільна біла піхва. • М’якоть: біла, без виразного запаху або з легким редьковим. • Споровий порошок: білий."
Amanita vittadinii,червень — жовтень.,"цілинні степи, злаково-лукові степи, на грунті.",,"• Шапка: 3–10 (20) см, напівсферична, згодом плоско-розпростерта; біла, кремова, з гострими конусовидними бородавками. • Пластинки: вільні, білі. • Ніжка: 5–8 (20) × 1–3 (4) см, біла, з подвійним кільцем; біля основи приросла піхва. • М’якоть: щільна, біла, з неприємним запахом. • Споровий порошок: білий."
Amanita echinocephala,червень — серпень.,правобережний Лісостеп; хвойні та листяні ліси.,,"• Шапка: 6,5–14 см, опуклю-розпростерта; біла, в центрі вохряна, з пірамідальними гострими бородавками; край гладенький. • Пластинки: вільні, кремово-зеленуваті. • Ніжка: 10–15 × 1,3–4 см, біла, з кільцем і прирослою піхвою; внизу з лускатими зонами. • М’якоть: білувата або кремова, щільна, з приємним запахом. • Споровий порошок: білий."
Boletus calopus,липень — вересень.,"хвойні ліси, на грунті.",,"• Шапка: 5–15 см, напівсферична, згодом подушковидно-розпростерта; сірувато-коричнева, жовтувато- або оливково-коричнева; суха, тонкоповстиста. • Трубочки/пори: пори зеленувато-жовті, при натиску синіють. • Ніжка: 5–10 (12) × 1,5–4 см, вгорі жовта, донизу червона, зі світлою сіткою. • М’якоть: білувата, згодом жовтувата, на зламі синіє; смак дуже гіркий. • Споровий порошок: вохряно-оливковий."
Boletus impolitus,липень — жовтень.,"листяні та мішані ліси, під дубом, буком.",,"• Шапка: 5–15 (20) см, дуже м’ясиста; оливково-буро-коричнева; гладенька, з товстим краєм. • Трубочки/пори: пори жовтуваті, згодом зеленувато-жовті, при натиску зеленіють. • Ніжка: 5–15 (18) × 2–5 (8) см, без сітки, штрихувата, борошниста, дрібнолуската. • М’якоть: у шапці та ніжці жовтуватий, на зламі не змінюється; запах карболки; смак добрий. • Споровий порошок: оливковий."
Boletus queletii,червень — жовтень.,"лівобережний Лісостеп, злаково-луковий Степ; листяні (букові, дубові) ліси.",,"• Шапка: 5–15 (20) см, напівсферична, згодом подушковидно-розпростерта; оранжево- або коричнювато-червона; суха, тонкоповстиста. • Трубочки/пори: пори жовті → червоні; при дотику синіють. • Ніжка: 5–12 (15) × 2–4 (6) см, жовта, біля основи червона, зерниста. • М’якоть: жовта, на зламі синіє, далі зеленіє та жовтіє; смак добрий. • Споровий порошок: коричнево-оливковий."
