scientific_name,common_name_uk,edibility_status,has_photos,in_top20,is_popular,is_poisonous,is_deadly,is_red_listed,rarity_label_uk,in_ai_recognition,has_ai_prompt,legacy_id,zones,key_features_ai,season,photo_path
Boletus edulis,Білий гриб,edible,1,1,1,0,0,0,,1,1,1,,,,фото Топ-20 грибів (webp)/Білий гриб Boletus edulis/large.webp
Lactarius torminosus,Вовнянка рожева,conditionally_edible,1,1,1,0,0,0,,1,1,16,,,,фото Топ-20 грибів (webp)/Вовнянка рожева Lactarius torminosus/large.webp
Pleurotus ostreatus,Глива звичайна,edible,1,1,1,0,0,0,,1,1,17,,,,фото Топ-20 грибів (webp)/Глива звичайна Pleurotus ostreatus/large.webp
Lactarius resimus,Груздь справжній,conditionally_edible,1,1,1,0,0,0,,1,1,8,,,,фото Топ-20 грибів (webp)/Груздь справжній Lactarius resimus/large.webp
Lycoperdon perlatum,Дощовик їстівний,edible,1,1,1,0,0,0,,1,1,13,,,,фото Топ-20 грибів (webp)/Дощовик їстівний Lycoperdon perlatum/large.webp
Boletus luridus,Дубовик звичайний,edible,1,1,1,0,0,0,,1,1,14,,,,фото Топ-20 грибів (webp)/Дубовик звичайний Suillellus luridus/large.webp
Flammulina velutipes,Зимовий опеньок,edible,1,1,1,0,0,0,,1,1,,,,,фото Топ-20 грибів (webp)/Зимовий опеньок Flammulina velutipes/large.webp
Hydnum repandum,Їжовик жовтуватий,edible,1,1,1,0,0,0,,1,1,19,,,,фото Топ-20 грибів (webp)/Їжовик жовтуватий Hydnum repandum/large.webp
Suillus bovinus,Козляк,edible,1,1,1,0,0,0,,1,1,20,,,,фото Топ-20 грибів (webp)/Козляк Suillus bovinus/large.webp
Cantharellus cibarius,Лисичка справжня,edible,1,1,1,0,0,0,,1,1,2,,,,фото Топ-20 грибів (webp)/Лисичка справжня Cantharellus cibarius/large.webp
Suillus luteus,Маслюк пізній,edible,1,1,1,0,0,0,,1,1,5,,,,фото Топ-20 грибів (webp)/Маслюк пізній Suillus luteus/large.webp
Xerocomus subtomentosus,Моховик зелений,edible,1,1,1,0,0,0,,1,1,15,,,,фото Топ-20 грибів (webp)/Моховик зелений Xerocomus subtomentosus/large.webp
Armillaria mellea,Опеньок осінній,edible,1,1,1,0,0,0,,1,1,6,,,,фото Топ-20 грибів (webp)/Опеньок осінній Armillaria mellea/large.webp
Agaricus campestris,Печериця звичайна,edible,1,1,1,0,0,0,,1,1,10,,,,фото Топ-20 грибів (webp)/Печериця звичайна Agaricus campestris/large.webp
