scientific_name,twin_name,twin_status,distinguishing
Agaricus arvensis,Agaricus campestris,їстівний,"відрізняється меншими плодовими тілами, простим кільцем і без анісового запаху."
Agaricus arvensis,Agaricus xanthodermus,отруйний,"при дотику жовтіє, має карболовий запах."
Agaricus silvaticus,Agaricus arvensis,їстівний,"має більші плодові тіла, двокільцеве кільце й анісовий запах."
Agaricus silvaticus,Agaricus xanthodermus,отруйний,"жовтіє при дотику, має карболовий запах."
Agaricus xanthodermus,Agaricus arvensis,їстівний,"не жовтіє, має анісовий запах."
Agaricus xanthodermus,Agaricus campestris,їстівний,"не жовтіє, без карболового запаху."
Amanita citrina,Amanita phalloides,смертельно отруйний,"шапка зеленувато-оливкова, без білих пластівців, пластинки білі, піхва мішкувата."
Amanita citrina,Amanita porphyria,отруйний,шапка сірувато-бура з пурпуровим відтінком.
Amanita porphyria,Amanita citrina,отруйний,"шапка лимонно-жовта, без пурпурового відтінку."
Amanita porphyria,Amanita pantherina,отруйний,"шапка коричнева з білими пластівцями, край рубчастий."
Amanita vittadinii,Amanita echinocephala,неїстівний,"шапка біла з вохряним центром, пластинки кремово-зеленуваті."
Amanita vittadinii,Amanita phalloides,смертельно отруйний,"шапка зеленувато-оливкова, без конусовидних бородавок."
Amanita echinocephala,Amanita vittadinii,отруйний,"шапка біла без кремово-зеленуватих пластинок, росте в степах."
Amanita echinocephala,Amanita solitaria,їстівний,"шапка білувата з сіруватими пластівцями, ніжка з широким кільцем."
Boletus calopus,Boletus edulis,їстівний,"м’якоть не гірка, ніжка з білою сіткою."
Boletus calopus,Boletus satanas,отруйний,"шапка білувата, пори червоні, м’якоть не гірка."
Boletus impolitus,Boletus edulis,їстівний,"ніжка з білою сіткою, м’якоть без карболового запаху."
Boletus impolitus,Boletus calopus,неїстівний,"ніжка з червоною сіткою, м’якоть гірка."
Boletus queletii,Boletus luridus,умовно-їстівний,"шапка буро-оливкова, ніжка з темною червоною сіткою."
Boletus queletii,Boletus erythropus,умовно-їстівний,"шапка бурувато- або темно-коричнева, ніжка жовто-червона, повстисто-зерниста."
Boletus erythropus,Boletus luridus,умовно-їстівний,"шапка буро-оливкова, ніжка з темною червоною сіткою."
Boletus erythropus,Boletus queletii,умовно-їстівний,"шапка оранжево- або коричнювато-червона, ніжка біля основи червона."
Boletus purpureus,Boletus luridus,умовно-їстівний,"шапка буро-оливкова, ніжка з темною сіткою."
Boletus purpureus,Boletus erythropus,умовно-їстівний,"шапка бурувато- або темно-коричнева, ніжка повстисто-зерниста."
Gyroporus castaneus,Gyroporus cyanescens,їстівний,"м’якуть на зламі швидко синіє, шапка білувата, згодом світло-жовта."
Gyroporus castaneus,Boletus edulis,їстівний,"ніжка з білою сіткою, м’якуть не синіє."
Gyroporus cyanescens,Gyroporus castaneus,їстівний,"м’якуть на зламі не синіє, шапка каштаново-коричнева."
Gyroporus cyanescens,Boletus calopus,неїстівний,"м’якуть гіркий, ніжка з червоною сіткою."
Gyrodon lividus,Boletinus cavipes,їстівний,"шапка золотисто-жовта з лусками, ніжка з кільцем і порожниною."
Gyrodon lividus,Boletus luteus,їстівний,"шапка каштанова, клейка, шкірка легко знімається."
Boletinus cavipes,Boletus luteus,їстівний,"шапка каштанова, клейка, шкірка легко знімається, ніжка без порожнини."
Boletinus cavipes,Gyrodon lividus,їстівний низької якості,"росте на вільсі, пори при дотику синіють."
Tylopilus felleus,Boletus edulis,їстівний,"пори білі, згодом оливкові, ніжка з білою сіткою, м’якуть не гіркий."
Tylopilus felleus,Boletus calopus,неїстівний,"м’якуть гіркий, але ніжка з червоною сіткою, пори зеленувато-жовті."
