
№	Гриб	Латинська назва	Області та регіони
1	Альбатрел злитий	Albatrellus confluens	Івано-Франківська, Львівська, Чернівецька, Закарпатська (Карпати)
2	Альбатрел овечий	Albatrellus ovinus	Івано-Франківська, Львівська, Чернівецька, Закарпатська (Карпати)
3	Білий гриб сітчастий	Boletus reticulatus	Закарпатська, Рівненська, Вінницька, Київська, Полтавська
4	Білий гриб сосновий	Boletus pinophilus	Прикарпаття, Правобережний та Лівобережний Лісостеп, Лівобережний Злаковий Степ, Гірський Крим, Рівненська, Київська
5	Глива дубова	Pleurotus dryinus	Закарпатська, Полтавська, Одеська; також Карпати, Правобережне Полісся
6	Глива легенева	Pleurotus pulmonarius	Закарпатська (Свалявський р-н)
7	Гриб-зонтик великий	Macrolepiota procera	Вінницька, Дніпропетровська, Донецька, Житомирська, Закарпатська, Кіровоградська, Київська, Львівська, Миколаївська, Сумська, Херсонська, Харківська, Черкаська, Чернігівська, АР Крим; «по всій Україні»
8	Гриб-зонтик сосковидний	Macrolepiota mastoidea	Закарпатська, Київська, Полтавська, АР Крим
9	Зеленушка	Tricholoma equestre	Донецька, Київська, Миколаївська, Тернопільська, Херсонська, Черкаська
10	Їжовик рудуватий	Hydnum rufescens	Полісся та Лісостеп (загалом)
11	Їжовик ямчастий	Hydnum umbilicatum	Закарпатська (НПП «Синевир»), Львівська (Моршин), Івано-Франківська (г. Піп-Іван Мармароський), Черкаська (околиці Умані)
12	Клавуліна гребінчаста	Clavulina cristata	Волинська, Харківська; також Правобережне Полісся, Правобережний та Лівобережний Лісостеп
13	Клавуліна зморшкувата	Clavulina coralloides	Львівська, Івано-Франківська (Ростоцько-Опільські Ліси)
14	Лисичка аметистова	Cantharellus amethysteus	Карпати (єдине підтверджене місцезнаходження в Україні)
15	Лисичка жовта	Craterellus lutescens	Житомирська, Вінницька (схід ареалу)
16	Лисичка сіра	Craterellus cinereus	Західна Україна, Прикарпаття, Карпати, Правобережний Лісостеп, Центральне та Лівобережне Полісся
17	Лисичка трубчаста	Craterellus tubaeformis	Закарпатська, АР Крим (Гірський Крим); також Карпати, Ростоцько-Опільські Ліси
18	Лисичка Фріза	Cantharellus friesii	Карпати (Закарпатська, Івано-Франківська); також Західне та Лівобережне Полісся, Західний, Правобережний, Лівобережний та Харківський Лісостеп
19	Маслюк білий	Suillus placidus	Волинська (НПП «Прип'ять-Стохід»); в Україні зустрічається рідко
20	Маслюк жовто-бурий	Suillus variegatus	АР Крим; також Полісся, Прикарпаття, Лісостеп
21	Маслюк зернистий	Suillus granulatus	Житомирська, Київська, Херсонська, Черкаська, АР Крим; «по всій Україні»
22	Маслюк модриновий	Suillus grevillei	Київська; також Карпати (Рахівський, Кісвинський, Трибушанський масиви)
23	Моховик тріщинуватий	Xerocomellus chrysenteron	Волинська, Закарпатська, Кіровоградська, Київська, Полтавська, Черкаська, АР Крим
24	Мухомор високий	Amanita excelsa	Дніпропетровська, Закарпатська, Київська, Львівська, Полтавська, Херсонська, Черкаська, АР Крим
25	Мухомор червоніючий	Amanita rubescens	Житомирська, Закарпатська, Івано-Франківська, Київська, Львівська, Тернопільська, Хмельницька, Черкаська; «по всій Україні»
26	Мухомор шафрановий	Amanita crocea	Київська, Закарпатська
27	Опеньок літній	Kuehneromyces mutabilis	Донецька, Закарпатська, АР Крим
28	Опеньок темний	Armillaria ostoyae	Закарпатська (Карпатський біосферний заповідник); також «широко розповсюджений в лісах України»
29	Підберезник грабовий	Leccinellum pseudoscabrum	По всій Україні (звичайний вид)
30	Підберезник жовто-бурий	Leccinum versipelle	Київська, Волинська; також Карпати, Полісся, Лісостеп, Степ
31	Підберезник різнокольоровий	Leccinum variicolor	Житомирська (поодинокі знахідки); в Україні виявлявся 1–3 рази
32	Підберезник тополевий	Leccinum duriusculum	Чернігівська; також Західний, Лівобережний, Правобережний та Харківський Лісостеп, Західне та Лівобережне Полісся
33	Підгруздь	Russula delica	АР Крим, Херсонська; також Полісся, Карпати, Правобережний та Лівобережний Лісостеп
34	Підосичник білоніжковий	Leccinum albostipitatum	По всій території України (розповсюджений)
35	Поплавок жовто-коричневий	Amanita fulva	Київська, Черкаська; також Лівобережний Лісостеп
36	Поплавок сірий	Amanita vaginata	Житомирська, Закарпатська, Київська, Львівська, Черкаська, АР Крим; «по всій території України»
37	Рамарія гроновидна	Ramaria botrytis	Центральне Полісся, Донецький Злаково-Лучний Степ; також Карпати
38	Рижик ялиновий	Lactarius deterrimus	Карпати
39	Рижик ялицевий	Lactarius salmonicolor	Карпати
40	Рядовка землиста	Tricholoma terreum	Дніпропетровська, Донецька, Київська, Полтавська, Херсонська, АР Крим
41	Рядовка ліловонога	Lepista personata	По всій території України; також Закарпаття, Львівська, Донецька
42	Рядовка майська	Calocybe gambosa	Черкаська; також Полісся, Лісостеп, Степ
43	Рядовка сіра	Tricholoma portentosum	Донецька, Київська
44	Рядовка фіолетова	Lepista nuda	Дніпропетровська, Донецька, Кіровоградська, Київська, Херсонська, Черкаська, АР Крим, Волинська
45	Сироїжка буро-червона	Russula xerampelina	Київська, Харківська, АР Крим
46	Сироїжка зелена	Russula virescens	Київська, АР Крим
47	Сироїжка синьо-жовта	Russula cyanoxantha	Закарпатська, Херсонська, АР Крим, Волинська, Рівненська, Житомирська
48	Сироїжка смердюча	Russula foetens	Закарпатська, Київська, Львівська, АР Крим; «по всій Україні»
49	Скрипиця	Lactarius vellereus	Закарпатська; також Лісостеп та Полісся
50	Трутовик лускатий	Polyporus squamosus	Донецька, Закарпатська, Київська, Луганська, Одеська, Херсонська, Черкаська, Чернівецька, АР Крим
51	Трутовик сірчано-жовтий	Laetiporus sulphureus	Закарпатська, Донецька, Київська, Львівська, Черкаська, АР Крим; «по всій Україні»
52	Хрящ-молочник дубовий	Lactarius quietus	Київська; також «майже по всій території України»
53	Хрящ-молочник їстівний	Lactifluus volemus	Закарпатська, Житомирська
54	Хрящ-молочник перцевий	Lactarius piperatus	Закарпатська, Київська, Львівська, Тернопільська, Хмельницька, АР Крим
55	Хрящ-молочник солодкуватий	Lactarius subdulcis	Закарпатська, Львівська; також Лівобережний Лісостеп, Прикарпаття
